tweet,aspect,sentiment,idioma
Sonido envolvente,sonido,negative,es
Buena gestión de accesos k,organización,positive,es
Muy buen ambiente,ambiente,negative,es
Aitana lo dio todooo,artistas,positive,es
No había información clara,organización,negative,es
El sonido fue perfecto,sonido,negative,es
Tiempos de espera razonables,colas,neutral,es
Problemas de sonido al inicio,sonido,positive,es
Organización como cualquier festival 🔥 xq,organización,positive,es
Opciones veganas muy buenas,comida,neutral,es
Ambiente tranquilo,ambiente,negative,es
Rigoberta Bandini increíble 👎,artistas,neutral,es
Comida normal nada especial,comida,negative,es
Buena gestión de accesos,organización,negative,es
Acceso súper ágil,colas,negative,es
Ambiente regular como siempre,ambiente,positive,es
Organización como cualquier festival xq,organización,neutral,es
Sonido envolvente,sonido,positive,es
"Demasiada gente, agobiante",ambiente,negative,es
Rosalía estuvo genial toa,artistas,positive,es
Buen rollo entre la gente,ambiente,positive,es
Problemas de sonido al inicio,sonido,negative,es
Ambiente regular como siempre,ambiente,negative,es
Acceso súper ágil,colas,neutral,es
The Tyets lo dieron todo,artistas,negative,es
Personal muy amable,organización,positive,es
Organización como cualquier festival bno,organización,neutral,es
Mala señalización,organización,negative,es
Muy buena la oferta de food trucks,comida,positive,es
El sonido fue perfecto,sonido,neutral,es
El sonido fue perfecto,sonido,negative,es
Demasiado cara la bebida,comida,negative,es
Acceso súper ágil,colas,positive,es
Sonido envolvente,sonido,positive,es
Esperamos muchísimo para entrar,colas,negative,es
Ambiente festivo todo el rato,ambiente,neutral,es
Rosalía estuvo genial no convenciooo,artistas,negative,es
No había información clara 👏,organización,neutral,es
Ambiente tranquilo flipanteee,ambiente,positive,es
Muy mal organizado todo k,organización,positive,es
Ambiente regular como siempre,ambiente,positive,es
Colas interminables un desastre,colas,negative,es
La comida estuvo increíble tmb,comida,neutral,es
Ambiente festivo todo el rato,ambiente,negative,es
No había información clara,organización,neutral,es
Opciones veganas muy buenas 😋,comida,positive,es
Bad Gyal decepcionante,artistas,negative,es
Todo muy bien organizado 👌,organización,negative,es
Ambiente regular como siempre 👎,ambiente,neutral,es
Colas para todo,colas,negative,es
Ambiente regular como siempre,ambiente,neutral,es
Aitana lo dio todooo,artistas,negative,es
Stay Homas brutal,artistas,negative,es
Sin colas para baños,colas,negative,es
Tiempos de espera razonables 🤯,colas,positive,es
No se oía nada en la parte de atrás bno,sonido,neutral,es
Ambiente espectacular,ambiente,negative,es
Volumen perfecto,sonido,negative,es
Bad Gyal decepcionante,artistas,neutral,es
No había casi colas,colas,negative,es
Quevedo lo dio todo,artistas,positive,es
Volumen demasiado alto 😋,sonido,positive,es
Muy buen ambiente k,ambiente,positive,es
Ambiente regular como siempre,ambiente,positive,es
Stay Homas brutal,artistas,neutral,es
Bad Gyal decepcionante,artistas,neutral,es
No se oía nada en la parte de atrás 👎,sonido,negative,es
No se oía nada en la parte de atrás,sonido,positive,es
Colas interminables un desastre,colas,negative,es
"Demasiada gente, agobiante",ambiente,negative,es
Organización como cualquier festival 🥵,organización,positive,es
Cerveza caliente 👏,comida,positive,es
The Tyets lo dieron todo 🤯,artistas,neutral,es
Rosalía estuvo genial,artistas,positive,es
Buhos fue espectacular,artistas,negative,es
Muy mal organizado todo,organización,neutral,es
No había casi colas,colas,positive,es
Buhos fue espectacular,artistas,negative,es
Muy bien todo,organización,positive,es
Buena gestión de accesos,organización,positive,es
Stay Homas brutal,artistas,neutral,es
Comida normal nada especial,comida,negative,es
Todo muy bien organizado,organización,positive,es
Colas para todo 💥,colas,negative,es
El sonido fue perfecto,sonido,negative,es
Mala señalización 🤯,organización,neutral,es
No había casi colas,colas,positive,es
Muy buena la oferta de food trucks tmb,comida,negative,es
Volumen perfecto,sonido,positive,es
Rosalía estuvo genial 😋,artistas,neutral,es
Ambiente festivo todo el rato,ambiente,positive,es
Quevedo lo dio todo 😋,artistas,positive,es
Rigoberta Bandini increíble,artistas,neutral,es
Colas interminables un desastre,colas,negative,es
Aitana lo dio todooo,artistas,negative,es
Carísima y mala la comida lo dio todooo,comida,neutral,es
Acceso súper ágil 🤯,colas,positive,es
Me encantó la comida del festival,comida,positive,es
Sonido envolvente,sonido,neutral,es
Sonido envolvente 😐,sonido,neutral,es
Volumen perfecto 🙌,sonido,neutral,es
Sin colas para baños,colas,neutral,es
Muy buena la oferta de food trucks,comida,positive,es
El sonido fue perfecto,sonido,negative,es
Sin colas para baños,colas,negative,es
Buena gestión de accesos,organización,positive,es
Quevedo lo dio todo,artistas,positive,es
Volumen demasiado alto,sonido,neutral,es
Organización como cualquier festival,organización,negative,es
Lildami hizo vibrar al público,artistas,positive,es
Comida normal nada especial,comida,neutral,es
Volumen demasiado alto,sonido,negative,es
Carísima y mala la comida,comida,negative,es
Ambiente espectacular,ambiente,neutral,es
Ambiente cargado y mal rollo,ambiente,negative,es
Ambiente espectacular,ambiente,negative,es
Volumen perfecto 🎶,sonido,positive,es
Buen sonido en todos los escenarios,sonido,negative,es
Opciones veganas muy buenas,comida,negative,es
Demasiado calor 🙌 tmb,ambiente,positive,es
Acceso súper ágil,colas,neutral,es
Muy buena la oferta de food trucks 👌,comida,neutral,es
Ambiente festivo todo el rato,ambiente,negative,es
Muy mal organizado todo,organización,neutral,es
Volumen demasiado alto xq,sonido,negative,es
Volumen demasiado alto toa,sonido,neutral,es
Volumen perfecto,sonido,positive,es
The Tyets lo dieron todo 💃,artistas,negative,es
Cerveza caliente xq,comida,neutral,es
Ambiente regular como siempre 🙌,ambiente,positive,es
Acceso súper ágil,colas,negative,es
Ambiente festivo todo el rato,ambiente,negative,es
Muy buen ambiente 🔥,ambiente,positive,es
Ambiente espectacular,ambiente,positive,es
Colas para todo,colas,neutral,es
Rigoberta Bandini increíble,artistas,negative,es
Acceso súper ágil,colas,neutral,es
Sonido distorsionado y muy alto,sonido,negative,es
Ambiente festivo todo el rato,ambiente,negative,es
Bad Gyal decepcionante,artistas,positive,es
Buhos fue espectacular,artistas,positive,es
Poca variedad en la comida,comida,neutral,es
Lildami hizo vibrar al público,artistas,neutral,es
El sonido fue perfecto,sonido,positive,es
El sonido fue perfecto,sonido,neutral,es
Buena gestión de accesos,organización,neutral,es
Bad Gyal decepcionante toa,artistas,positive,es
Acceso súper ágil 💃,colas,positive,es
Opciones veganas muy buenas,comida,negative,es
Problemas de sonido al inicio,sonido,negative,es
Colas para todo,colas,positive,es
Volumen demasiado alto k,sonido,negative,es
Cerveza caliente,comida,negative,es
Demasiado calor,ambiente,positive,es
Muy buen ambiente,ambiente,negative,es
Me encantó la comida del festival,comida,positive,es
No había casi colas lo dio todooo,colas,negative,es
The Tyets lo dieron todo,artistas,neutral,es
Quevedo lo dio todo,artistas,positive,es
Buen rollo entre la gente,ambiente,positive,es
El sonido fue perfecto,sonido,neutral,es
Opciones veganas muy buenas bno,comida,positive,es
Buen rollo entre la gente,ambiente,neutral,es
Acceso súper ágil,colas,positive,es
No había información clara,organización,neutral,es
Esperamos muchísimo para entrar,colas,negative,es
El sonido fue perfecto,sonido,negative,es
Muy bien todo,organización,positive,es
Comida normal nada especial lo dio todooo,comida,positive,es
Buena gestión de accesos,organización,negative,es
Colas interminables un desastre,colas,positive,es
Volumen perfecto bno,sonido,positive,es
The Tyets lo dieron todo no convenciooo,artistas,neutral,es
Ambiente festivo todo el rato,ambiente,positive,es
Quevedo lo dio todo,artistas,negative,es
Muy mal organizado todo,organización,positive,es
Ambiente festivo todo el rato,ambiente,negative,es
Muy buen ambiente,ambiente,negative,es
Esperamos media hora para entrar,colas,neutral,es
Buen sonido en todos los escenarios,sonido,neutral,es
Stay Homas brutal,artistas,neutral,es
No había casi colas,colas,negative,es
Opciones veganas muy buenas,comida,neutral,es
Organización como cualquier festival,organización,negative,es
Poca variedad en la comida,comida,positive,es
Carísima y mala la comida,comida,positive,es
Bad Gyal decepcionante,artistas,neutral,es
Me encantó la comida del festival,comida,negative,es
Colas para todo,colas,positive,es
Todo muy bien organizado,organización,negative,es
The Tyets lo dieron todo,artistas,positive,es
Sonido envolvente,sonido,neutral,es
La comida estuvo increíble,comida,negative,es
Esperamos muchísimo para entrar xq,colas,positive,es
No se oía nada en la parte de atrás k,sonido,positive,es
Desastre en la organización,organización,positive,es
Me encantó la comida del festival,comida,neutral,es
Colas interminables un desastre no convenciooo,colas,positive,es
Demasiado cara la bebida 🎶,comida,neutral,es
Rigoberta Bandini increíble,artistas,neutral,es
Tiempos de espera razonables,colas,negative,es
Tiempos de espera razonables,colas,neutral,es
Sonido envolvente,sonido,positive,es
Ambiente cargado y mal rollo,ambiente,negative,es
Mala señalización 💥,organización,negative,es
Carísima y mala la comida,comida,negative,es
No había información clara,organización,neutral,es
No se oía nada en la parte de atrás,sonido,positive,es
Problemas de sonido al inicio,sonido,neutral,es
Buena gestión de accesos,organización,positive,es
Demasiado calor bno,ambiente,negative,es
Ambiente tranquilo,ambiente,negative,es
No se oía nada en la parte de atrás 🤯,sonido,positive,es
Aitana lo dio todooo,artistas,negative,es
Comida normal nada especial,comida,positive,es
Rigoberta Bandini increíble,artistas,negative,es
No se oía nada en la parte de atrás,sonido,neutral,es
Quevedo lo dio todo,artistas,neutral,es
Ambiente regular como siempre,ambiente,negative,es
Sonido distorsionado y muy alto,sonido,positive,es
Sonido envolvente,sonido,neutral,es
No se oía nada en la parte de atrás,sonido,positive,es
Buen sonido en todos los escenarios,sonido,positive,es
Cerveza caliente,comida,positive,es
Ambiente regular como siempre,ambiente,positive,es
Problemas de sonido al inicio,sonido,negative,es
No había casi colas,colas,positive,es
Rosalía estuvo genial 👏,artistas,positive,es
Tiempos de espera razonables 😐,colas,negative,es
Buen rollo entre la gente,ambiente,negative,es
Muy bien todo,organización,neutral,es
Lildami hizo vibrar al público,artistas,neutral,es
Ambiente cargado y mal rollo,ambiente,positive,es
Ambiente festivo todo el rato,ambiente,neutral,es
Sonido distorsionado y muy alto,sonido,negative,es
Sin colas para baños,colas,negative,es
Muy bien todo,organización,positive,es
