tweet,aspect,sentiment,idioma
Ambiente cargado y mal rollo,ambiente,negative,es
Sonido distorsionado y muy alto,sonido,positive,es
Todo muy bien organizado,organización,neutral,es
"Demasiada gente, agobiante 🔥",ambiente,neutral,es
Me encantó la comida del festival,comida,positive,es
todo muy bien organizado,organización,neutral,es
Esperamos muchísimo para entrar,colas,neutral,es
Ambiente cargado y mal rollo porque fue brutal,ambiente,negative,es
The Tyets estuvo genial,artistas,negative,es
No había casi colas,colas,negative,es
Ambiente regular como siempre,ambiente,positive,es
audio brutal bno,sonido,negative,es
Sonido distorsionado y muy alto,sonido,positive,es
la comida estuvo increíble 🔥,comida,negative,es
Me encantó la comida del festival,comida,negative,es
Muy mal organizado todo,organización,neutral,es
Colas interminables un desastre,colas,negative,es
Volumen fatal,sonido,positive,es
Todo muy bien organizado,organización,neutral,es
Lola Índigo decepcionante,artistas,positive,es
rigoberta bandini decepcionante,artistas,positive,es
esperamos muchísimo para entrar,colas,neutral,es
Esperamos muchísimo para entrar,colas,negative,es
colas interminables un desastre,colas,neutral,es
Carísima y mala la comida,comida,negative,es
Organización como cualquier festival,organización,neutral,es
Desastre en la organización,organización,neutral,es
Bad Gyal decepcionante,artistas,neutral,es
Ambiente cargado y mal rollo mientras fue brutal,ambiente,positive,es
Carísima y mala la comida 😍,comida,positive,es
No había casi colas mientras fue brutal,colas,positive,es
aitana decepcionante,artistas,positive,es
La comida estuvo increíble,comida,neutral,es
Quevedo hizo vibrar al público,artistas,neutral,es
Tiempos de espera razonables,colas,negative,es
Colas interminables un desastre,colas,neutral,es
Desastre en la organización,organización,positive,es
Organización como cualquier festival,organización,neutral,es
Muy mal organizado todo,organización,positive,es
Quevedo estuvo genial flipanteee,artistas,negative,es
desastre en la organización super biennn ya que fue brutal,organización,positive,es
Buhos lo dieron todo,artistas,neutral,es
lola índigo lo dieron todo,artistas,neutral,es
Stay Homas hizo vibrar al público porque fue brutal,artistas,positive,es
Carísima y mala la comida,comida,positive,es
tiempos de espera razonables lo dio todooo,colas,neutral,es
Tiempos de espera razonables 🙌,colas,positive,es
ambiente regular como siempre,ambiente,negative,es
Muy mal organizado todo,organización,negative,es
Me encantó la comida del festival,comida,positive,es
Rosalía decepcionante 👌,artistas,neutral,es
The Tyets decepcionante,artistas,neutral,es
Stay Homas estuvo genial,artistas,negative,es
tiempos de espera razonables,colas,neutral,es
Sonido distorsionado y muy alto,sonido,negative,es
Muy mal organizado todo porque fue brutal,organización,neutral,es
Aitana hizo vibrar al público mientras fue brutal,artistas,negative,es
"Demasiada gente, agobiante",ambiente,negative,es
El sonido fue perfecto,sonido,neutral,es
Lildami hizo vibrar al público k,artistas,positive,es
Todo muy bien organizado,organización,positive,es
Lola Índigo hizo vibrar al público 🙌,artistas,negative,es
no había casi colas,colas,neutral,es
"Demasiada gente, agobiante",ambiente,positive,es
audio brutal,sonido,positive,es
"Comida normal, nada especial",comida,neutral,es
Tiempos de espera razonables,colas,positive,es
No había casi colas super biennn,colas,positive,es
la comida estuvo increíble,comida,negative,es
carísima y mala la comida,comida,positive,es
Muy mal organizado todo no convenciooo,organización,neutral,es
Quevedo decepcionante vibraaa,artistas,negative,es
me encantó la comida del festival flipanteee porque fue brutal,comida,neutral,es
Bad Gyal decepcionante,artistas,negative,es
La comida estuvo increíble,comida,negative,es
Audio brutal,sonido,neutral,es
Bad Gyal decepcionante,artistas,positive,es
Todo muy bien organizado toa,organización,positive,es
El sonido fue perfecto,sonido,negative,es
Ambiente cargado y mal rollo,ambiente,negative,es
ambiente regular como siempre,ambiente,positive,es
Colas interminables un desastre,colas,neutral,es
Colas interminables un desastre 😍,colas,negative,es
buhos decepcionante,artistas,neutral,es
el sonido fue perfecto,sonido,negative,es
Sonido distorsionado y muy alto 😋,sonido,neutral,es
El sonido fue perfecto,sonido,positive,es
Muy mal organizado todo,organización,neutral,es
Aitana hizo vibrar al público lo dio todooo 🔥,artistas,negative,es
Ambiente regular como siempre cuando fue brutal,ambiente,positive,es
Audio brutal,sonido,positive,es
Ambiente cargado y mal rollo k 😭,ambiente,positive,es
Esperamos muchísimo para entrar aunque fue brutal,colas,neutral,es
Audio brutal aunque fue brutal,sonido,negative,es
Colas interminables un desastre,colas,neutral,es
El sonido fue perfecto,sonido,positive,es
stay homas estuvo genial,artistas,positive,es
Quevedo estuvo genial,artistas,positive,es
No había casi colas 🙌,colas,negative,es
lola índigo decepcionante,artistas,neutral,es
carísima y mala la comida,comida,neutral,es
Esperamos muchísimo para entrar 👌,colas,neutral,es
Lola Índigo decepcionante aunque fue brutal,artistas,positive,es
Muy buen ambiente,ambiente,negative,es
Organización como cualquier festival,organización,negative,es
buhos lo dieron todo lo dio todooo,artistas,negative,es
buhos estuvo genial,artistas,negative,es
Rigoberta Bandini hizo vibrar al público,artistas,negative,es
Muy buen ambiente,ambiente,positive,es
Sonido distorsionado y muy alto,sonido,positive,es
La comida estuvo increíble,comida,neutral,es
Lola Índigo estuvo genial,artistas,neutral,es
audio brutal,sonido,negative,es
Esperamos muchísimo para entrar,colas,neutral,es
Audio brutal,sonido,neutral,es
Volumen fatal vibraaa,sonido,positive,es
La comida estuvo increíble,comida,negative,es
El sonido fue perfecto,sonido,neutral,es
La comida estuvo increíble 🔥,comida,neutral,es
La comida estuvo increíble,comida,neutral,es
Ambiente regular como siempre,ambiente,neutral,es
"Comida normal, nada especial",comida,neutral,es
"Comida normal, nada especial lo dio todooo",comida,neutral,es
Me encantó la comida del festival no convenciooo,comida,positive,es
Muy buen ambiente,ambiente,neutral,es
carísima y mala la comida,comida,negative,es
Esperamos muchísimo para entrar lo dio todooo,colas,positive,es
La comida estuvo increíble,comida,neutral,es
Rosalía estuvo genial,artistas,neutral,es
Rigoberta Bandini hizo vibrar al público vibraaa porque fue brutal 🔥,artistas,neutral,es
Carísima y mala la comida,comida,neutral,es
Buhos decepcionante genialll,artistas,positive,es
Desastre en la organización,organización,neutral,es
Muy mal organizado todo mientras fue brutal,organización,neutral,es
Sonido distorsionado y muy alto bno,sonido,negative,es
Desastre en la organización genialll,organización,positive,es
Bad Gyal lo dieron todo,artistas,positive,es
audio brutal genialll,sonido,negative,es
"Comida normal, nada especial",comida,negative,es
No había casi colas,colas,positive,es
Aitana hizo vibrar al público,artistas,positive,es
Muy mal organizado todo,organización,positive,es
"Comida normal, nada especial ya que fue brutal",comida,neutral,es
Lildami decepcionante,artistas,positive,es
ambiente regular como siempre cuando fue brutal 💥,ambiente,negative,es
Esperamos muchísimo para entrar 😍,colas,neutral,es
Desastre en la organización 😭,organización,negative,es
Quevedo hizo vibrar al público,artistas,positive,es
Rigoberta Bandini estuvo genial aunque fue brutal,artistas,negative,es
Ambiente regular como siempre,ambiente,positive,es
"demasiada gente, agobiante",ambiente,positive,es
Colas interminables un desastre,colas,negative,es
lola índigo decepcionante mientras fue brutal,artistas,negative,es
Audio brutal no convenciooo,sonido,negative,es
Desastre en la organización k,organización,positive,es
Muy mal organizado todo,organización,positive,es
Ambiente regular como siempre porque fue brutal,ambiente,neutral,es
ambiente regular como siempre lo dio todooo,ambiente,neutral,es
sonido distorsionado y muy alto,sonido,neutral,es
muy buen ambiente,ambiente,neutral,es
colas interminables un desastre,colas,neutral,es
Todo muy bien organizado,organización,neutral,es
Todo muy bien organizado,organización,neutral,es
Me encantó la comida del festival,comida,neutral,es
La comida estuvo increíble,comida,positive,es
Audio brutal super biennn,sonido,positive,es
Tiempos de espera razonables,colas,neutral,es
Sonido distorsionado y muy alto,sonido,neutral,es
Esperamos muchísimo para entrar,colas,neutral,es
Colas interminables un desastre,colas,neutral,es
Tiempos de espera razonables,colas,negative,es
Tiempos de espera razonables,colas,neutral,es
Audio brutal,sonido,positive,es
Colas interminables un desastre,colas,neutral,es
Desastre en la organización,organización,negative,es
"Demasiada gente, agobiante",ambiente,negative,es
Sonido distorsionado y muy alto,sonido,neutral,es
No había casi colas,colas,negative,es
Organización como cualquier festival,organización,neutral,es
Muy mal organizado todo,organización,negative,es
no había casi colas,colas,negative,es
the tyets estuvo genial,artistas,negative,es
Volumen fatal,sonido,positive,es
Sonido distorsionado y muy alto toa,sonido,neutral,es
Rigoberta Bandini lo dieron todo 🤯,artistas,negative,es
Muy mal organizado todo flipanteee,organización,positive,es
Ambiente cargado y mal rollo,ambiente,neutral,es
no había casi colas super biennn,colas,neutral,es
Buhos lo dieron todo,artistas,positive,es
Aitana hizo vibrar al público porque fue brutal,artistas,neutral,es
Sonido distorsionado y muy alto,sonido,positive,es
Colas interminables un desastre,colas,negative,es
Organización como cualquier festival,organización,neutral,es
Muy buen ambiente,ambiente,negative,es
Volumen fatal,sonido,neutral,es
Organización como cualquier festival,organización,negative,es
no había casi colas mientras fue brutal,colas,neutral,es
volumen fatal,sonido,negative,es
Stay Homas hizo vibrar al público porque fue brutal,artistas,negative,es
Todo muy bien organizado 😍,organización,negative,es
"Comida normal, nada especial genialll",comida,negative,es
me encantó la comida del festival,comida,positive,es
Buhos hizo vibrar al público,artistas,negative,es
Organización como cualquier festival,organización,positive,es
Tiempos de espera razonables,colas,positive,es
Aitana hizo vibrar al público,artistas,negative,es
el sonido fue perfecto,sonido,negative,es
"comida normal, nada especial",comida,positive,es
La comida estuvo increíble,comida,positive,es
Carísima y mala la comida,comida,positive,es
Lildami estuvo genial,artistas,neutral,es
Ambiente regular como siempre,ambiente,positive,es
Aitana hizo vibrar al público cuando fue brutal,artistas,negative,es
Tiempos de espera razonables,colas,neutral,es
Me encantó la comida del festival porque fue brutal,comida,negative,es
Muy buen ambiente porque fue brutal 🤯,ambiente,negative,es
stay homas lo dieron todo,artistas,negative,es
Muy mal organizado todo,organización,positive,es
The Tyets hizo vibrar al público,artistas,positive,es
Ambiente cargado y mal rollo,ambiente,neutral,es
Todo muy bien organizado,organización,neutral,es
Sonido distorsionado y muy alto,sonido,neutral,es
Ambiente cargado y mal rollo,ambiente,negative,es
Sonido distorsionado y muy alto,sonido,neutral,es
Organización como cualquier festival mientras fue brutal,organización,neutral,es
Colas interminables un desastre aunque fue brutal,colas,negative,es
organización como cualquier festival,organización,positive,es
Me encantó la comida del festival no convenciooo 💥,comida,negative,es
Rosalía decepcionante,artistas,neutral,es
El sonido fue perfecto,sonido,positive,es
ambiente cargado y mal rollo,ambiente,neutral,es
Stay Homas decepcionante 🤯,artistas,positive,es
desastre en la organización super biennn cuando fue brutal,organización,negative,es
Muy buen ambiente,ambiente,negative,es
lildami hizo vibrar al público bno,artistas,negative,es
carísima y mala la comida cuando fue brutal,comida,positive,es
Ambiente regular como siempre,ambiente,positive,es
Organización como cualquier festival ya que fue brutal 🤯,organización,negative,es
Sonido distorsionado y muy alto,sonido,positive,es
"Demasiada gente, agobiante",ambiente,positive,es
Organización como cualquier festival mientras fue brutal,organización,neutral,es
el sonido fue perfecto,sonido,negative,es
buhos decepcionante bno,artistas,neutral,es
la comida estuvo increíble,comida,positive,es
Carísima y mala la comida,comida,positive,es
Me encantó la comida del festival no convenciooo,comida,neutral,es
Tiempos de espera razonables,colas,negative,es
Volumen fatal 😍,sonido,positive,es
Audio brutal ya que fue brutal 🤯,sonido,negative,es
Ambiente cargado y mal rollo,ambiente,negative,es
Lildami estuvo genial,artistas,negative,es
Muy mal organizado todo,organización,neutral,es
"Demasiada gente, agobiante mientras fue brutal",ambiente,neutral,es
Colas interminables un desastre,colas,positive,es
Muy buen ambiente,ambiente,negative,es
Lildami estuvo genial 👌,artistas,neutral,es
Desastre en la organización,organización,negative,es
la comida estuvo increíble,comida,neutral,es
Esperamos muchísimo para entrar,colas,positive,es
"Comida normal, nada especial",comida,neutral,es
Desastre en la organización,organización,neutral,es
La comida estuvo increíble porque fue brutal,comida,neutral,es
Ambiente regular como siempre cuando fue brutal,ambiente,neutral,es
muy buen ambiente porque fue brutal,ambiente,positive,es
aitana estuvo genial,artistas,positive,es
organización como cualquier festival,organización,negative,es
Audio brutal,sonido,neutral,es
La comida estuvo increíble,comida,negative,es
Me encantó la comida del festival,comida,neutral,es
No había casi colas,colas,positive,es
Muy buen ambiente,ambiente,negative,es
Ambiente regular como siempre cuando fue brutal,ambiente,negative,es
Organización como cualquier festival ya que fue brutal,organización,negative,es
No había casi colas,colas,positive,es
Esperamos muchísimo para entrar,colas,negative,es
El sonido fue perfecto porque fue brutal,sonido,positive,es
Audio brutal toa,sonido,neutral,es
Muy buen ambiente,ambiente,negative,es
Lildami estuvo genial bno,artistas,negative,es
Organización como cualquier festival,organización,positive,es
esperamos muchísimo para entrar xq,colas,negative,es
No había casi colas,colas,neutral,es
colas interminables un desastre 😍,colas,neutral,es
the tyets estuvo genial,artistas,positive,es
Organización como cualquier festival,organización,neutral,es
Aitana hizo vibrar al público,artistas,positive,es
Todo muy bien organizado cuando fue brutal,organización,neutral,es
Aitana lo dieron todo,artistas,neutral,es
"Demasiada gente, agobiante vibraaa",ambiente,neutral,es
La comida estuvo increíble porque fue brutal,comida,positive,es
"Comida normal, nada especial",comida,neutral,es
"Demasiada gente, agobiante",ambiente,positive,es
Muy mal organizado todo 😎,organización,negative,es
me encantó la comida del festival,comida,positive,es
Carísima y mala la comida,comida,negative,es
me encantó la comida del festival ya que fue brutal,comida,positive,es
Volumen fatal mientras fue brutal 🎶,sonido,neutral,es
Organización como cualquier festival,organización,neutral,es
el sonido fue perfecto lo dio todooo,sonido,positive,es
Sonido distorsionado y muy alto,sonido,positive,es
Muy buen ambiente,ambiente,negative,es
Esperamos muchísimo para entrar xq,colas,positive,es
Todo muy bien organizado,organización,negative,es
Audio brutal,sonido,neutral,es
la comida estuvo increíble,comida,positive,es
Muy mal organizado todo,organización,negative,es
"Comida normal, nada especial",comida,negative,es
Sonido distorsionado y muy alto,sonido,negative,es
Me encantó la comida del festival aunque fue brutal,comida,neutral,es
La comida estuvo increíble,comida,neutral,es
Rigoberta Bandini lo dieron todo,artistas,positive,es
"demasiada gente, agobiante",ambiente,positive,es
Me encantó la comida del festival flipanteee,comida,neutral,es
Colas interminables un desastre,colas,neutral,es
La comida estuvo increíble aunque fue brutal,comida,negative,es
Desastre en la organización 🤯,organización,neutral,es
Volumen fatal 😭,sonido,neutral,es
la comida estuvo increíble,comida,negative,es
Carísima y mala la comida cuando fue brutal 🔥,comida,neutral,es
"Demasiada gente, agobiante",ambiente,negative,es
volumen fatal mientras fue brutal,sonido,negative,es
Rosalía decepcionante,artistas,positive,es
Volumen fatal,sonido,negative,es
Muy buen ambiente,ambiente,positive,es
Muy buen ambiente,ambiente,neutral,es
Colas interminables un desastre,colas,negative,es
"Demasiada gente, agobiante porque fue brutal",ambiente,neutral,es
tiempos de espera razonables,colas,positive,es
Ambiente cargado y mal rollo porque fue brutal,ambiente,positive,es
Muy buen ambiente porque fue brutal,ambiente,negative,es
Todo muy bien organizado 🤯,organización,negative,es
organización como cualquier festival super biennn aunque fue brutal,organización,negative,es
Volumen fatal,sonido,positive,es
No había casi colas toa,colas,negative,es
sonido distorsionado y muy alto mientras fue brutal,sonido,positive,es
Rosalía hizo vibrar al público,artistas,neutral,es
Ambiente cargado y mal rollo flipanteee,ambiente,neutral,es
desastre en la organización porque fue brutal,organización,neutral,es
Colas interminables un desastre,colas,positive,es
Muy mal organizado todo,organización,neutral,es
Ambiente cargado y mal rollo,ambiente,positive,es
"Comida normal, nada especial 🔥",comida,positive,es
No había casi colas,colas,neutral,es
"Demasiada gente, agobiante genialll",ambiente,negative,es
Esperamos muchísimo para entrar aunque fue brutal,colas,positive,es
audio brutal,sonido,positive,es
rosalía decepcionante,artistas,positive,es
Colas interminables un desastre,colas,neutral,es
Ambiente regular como siempre,ambiente,neutral,es
muy mal organizado todo,organización,negative,es
Ambiente regular como siempre,ambiente,positive,es
Me encantó la comida del festival,comida,negative,es
Ambiente regular como siempre vibraaa aunque fue brutal,ambiente,negative,es
Muy buen ambiente,ambiente,positive,es
"Comida normal, nada especial bno",comida,neutral,es
Me encantó la comida del festival,comida,neutral,es
desastre en la organización,organización,neutral,es
quevedo estuvo genial,artistas,positive,es
carísima y mala la comida,comida,positive,es
Me encantó la comida del festival,comida,neutral,es
todo muy bien organizado,organización,positive,es
Lildami decepcionante lo dio todooo,artistas,negative,es
sonido distorsionado y muy alto flipanteee 🔥,sonido,positive,es
Sonido distorsionado y muy alto cuando fue brutal,sonido,negative,es
Aitana lo dieron todo,artistas,neutral,es
Me encantó la comida del festival 😎,comida,neutral,es
Carísima y mala la comida,comida,negative,es
Me encantó la comida del festival,comida,neutral,es
sonido distorsionado y muy alto,sonido,neutral,es
tiempos de espera razonables,colas,negative,es
volumen fatal lo dio todooo,sonido,positive,es
Sonido distorsionado y muy alto 💥,sonido,negative,es
Muy mal organizado todo 👌,organización,negative,es
esperamos muchísimo para entrar flipanteee,colas,negative,es
La comida estuvo increíble,comida,positive,es
Ambiente cargado y mal rollo,ambiente,neutral,es
esperamos muchísimo para entrar,colas,negative,es
buhos decepcionante,artistas,neutral,es
Todo muy bien organizado,organización,negative,es
Ambiente cargado y mal rollo vibraaa,ambiente,neutral,es
Rosalía decepcionante,artistas,neutral,es
el sonido fue perfecto 😋,sonido,negative,es
Muy mal organizado todo,organización,positive,es
The Tyets lo dieron todo,artistas,positive,es
No había casi colas,colas,negative,es
La comida estuvo increíble,comida,neutral,es
Volumen fatal 😋,sonido,negative,es
Organización como cualquier festival bno,organización,positive,es
Bad Gyal decepcionante,artistas,negative,es
Ambiente cargado y mal rollo genialll,ambiente,negative,es
Muy buen ambiente,ambiente,neutral,es
"demasiada gente, agobiante 👌",ambiente,neutral,es
Muy mal organizado todo,organización,negative,es
Ambiente cargado y mal rollo flipanteee,ambiente,neutral,es
Buhos hizo vibrar al público,artistas,positive,es
El sonido fue perfecto,sonido,neutral,es
Sonido distorsionado y muy alto,sonido,negative,es
Muy mal organizado todo,organización,neutral,es
Quevedo lo dieron todo,artistas,negative,es
Muy buen ambiente,ambiente,neutral,es
Tiempos de espera razonables,colas,neutral,es
rosalía decepcionante,artistas,positive,es
el sonido fue perfecto,sonido,neutral,es
todo muy bien organizado 😭,organización,neutral,es
Colas interminables un desastre,colas,positive,es
ambiente regular como siempre 😋,ambiente,neutral,es
Ambiente cargado y mal rollo,ambiente,neutral,es
Audio brutal,sonido,neutral,es
Organización como cualquier festival 💥,organización,positive,es
Sonido distorsionado y muy alto,sonido,positive,es
Colas interminables un desastre toa 😎,colas,negative,es
desastre en la organización,organización,neutral,es
Lildami lo dieron todo no convenciooo,artistas,negative,es
El sonido fue perfecto,sonido,neutral,es
Organización como cualquier festival,organización,positive,es
organización como cualquier festival,organización,neutral,es
muy buen ambiente toa,ambiente,positive,es
El sonido fue perfecto bno,sonido,positive,es
ambiente cargado y mal rollo,ambiente,neutral,es
"Demasiada gente, agobiante k porque fue brutal",ambiente,negative,es
Sonido distorsionado y muy alto,sonido,neutral,es
ambiente regular como siempre,ambiente,neutral,es
rigoberta bandini hizo vibrar al público porque fue brutal,artistas,neutral,es
esperamos muchísimo para entrar 🎶,colas,neutral,es
Todo muy bien organizado ya que fue brutal 💥,organización,neutral,es
Buhos estuvo genial,artistas,negative,es
Buhos hizo vibrar al público mientras fue brutal,artistas,positive,es
Colas interminables un desastre,colas,positive,es
Audio brutal,sonido,positive,es
Esperamos muchísimo para entrar,colas,negative,es
Desastre en la organización vibraaa 🤯,organización,positive,es
Todo muy bien organizado,organización,positive,es
Tiempos de espera razonables,colas,negative,es
Sonido distorsionado y muy alto,sonido,neutral,es
Stay Homas lo dieron todo,artistas,neutral,es
"Demasiada gente, agobiante super biennn",ambiente,negative,es
Stay Homas hizo vibrar al público cuando fue brutal,artistas,negative,es
sonido distorsionado y muy alto,sonido,negative,es
Esperamos muchísimo para entrar,colas,positive,es
La comida estuvo increíble,comida,negative,es
Volumen fatal lo dio todooo,sonido,negative,es
Ambiente cargado y mal rollo,ambiente,negative,es
Muy mal organizado todo lo dio todooo,organización,neutral,es
No había casi colas,colas,neutral,es
No había casi colas porque fue brutal,colas,negative,es
Stay Homas decepcionante,artistas,negative,es
Bad Gyal decepcionante porque fue brutal 😋,artistas,neutral,es
Volumen fatal aunque fue brutal,sonido,neutral,es
Muy buen ambiente,ambiente,positive,es
Esperamos muchísimo para entrar,colas,positive,es
Bad Gyal hizo vibrar al público,artistas,positive,es
Carísima y mala la comida,comida,positive,es
Sonido distorsionado y muy alto,sonido,negative,es
audio brutal,sonido,neutral,es
esperamos muchísimo para entrar,colas,positive,es
"Demasiada gente, agobiante ya que fue brutal",ambiente,positive,es
Quevedo decepcionante ya que fue brutal,artistas,negative,es
El sonido fue perfecto,sonido,negative,es
Ambiente regular como siempre,ambiente,positive,es
Esperamos muchísimo para entrar 😭,colas,negative,es
Organización como cualquier festival,organización,positive,es
Carísima y mala la comida,comida,neutral,es
Ambiente cargado y mal rollo,ambiente,negative,es
"Comida normal, nada especial",comida,positive,es
Volumen fatal mientras fue brutal,sonido,negative,es
rigoberta bandini lo dieron todo aunque fue brutal 😍,artistas,neutral,es
Tiempos de espera razonables,colas,positive,es
Ambiente cargado y mal rollo,ambiente,positive,es
Stay Homas lo dieron todo,artistas,negative,es
No había casi colas,colas,positive,es
organización como cualquier festival,organización,positive,es
Buhos decepcionante no convenciooo aunque fue brutal 👌,artistas,positive,es
Todo muy bien organizado,organización,negative,es
organización como cualquier festival,organización,negative,es
El sonido fue perfecto,sonido,negative,es
No había casi colas,colas,positive,es
Ambiente regular como siempre 🔥,ambiente,neutral,es
Ambiente cargado y mal rollo,ambiente,neutral,es
No había casi colas,colas,neutral,es
Lildami hizo vibrar al público genialll,artistas,negative,es
Ambiente cargado y mal rollo,ambiente,neutral,es
Volumen fatal aunque fue brutal,sonido,negative,es
Colas interminables un desastre,colas,negative,es
Carísima y mala la comida,comida,negative,es
Ambiente regular como siempre,ambiente,neutral,es
Colas interminables un desastre,colas,negative,es
Tiempos de espera razonables super biennn,colas,negative,es
buhos hizo vibrar al público,artistas,positive,es
Volumen fatal,sonido,positive,es
carísima y mala la comida,comida,positive,es
Bad Gyal estuvo genial,artistas,neutral,es
Esperamos muchísimo para entrar,colas,neutral,es
Ambiente cargado y mal rollo super biennn,ambiente,neutral,es
No había casi colas,colas,negative,es
"Comida normal, nada especial cuando fue brutal",comida,negative,es
esperamos muchísimo para entrar flipanteee,colas,positive,es
tiempos de espera razonables,colas,positive,es
Colas interminables un desastre,colas,negative,es
Audio brutal,sonido,neutral,es
no había casi colas,colas,positive,es
Me encantó la comida del festival xq,comida,positive,es
lola índigo estuvo genial 💥,artistas,neutral,es
Colas interminables un desastre flipanteee 🤯,colas,positive,es
No había casi colas,colas,neutral,es
Muy mal organizado todo,organización,neutral,es
"Comida normal, nada especial 👌",comida,neutral,es
no había casi colas,colas,neutral,es
La comida estuvo increíble,comida,negative,es
Me encantó la comida del festival,comida,positive,es
"Demasiada gente, agobiante",ambiente,negative,es
Tiempos de espera razonables,colas,neutral,es
Ambiente cargado y mal rollo,ambiente,negative,es
organización como cualquier festival,organización,negative,es
colas interminables un desastre aunque fue brutal,colas,negative,es
desastre en la organización,organización,negative,es
Lola Índigo hizo vibrar al público 🎶,artistas,neutral,es
Rosalía hizo vibrar al público,artistas,neutral,es
"Comida normal, nada especial",comida,negative,es
Sonido distorsionado y muy alto,sonido,positive,es
Colas interminables un desastre,colas,positive,es
No había casi colas,colas,neutral,es
Todo muy bien organizado aunque fue brutal,organización,negative,es
"Demasiada gente, agobiante",ambiente,positive,es
Desastre en la organización,organización,negative,es
Todo muy bien organizado,organización,negative,es
Volumen fatal,sonido,negative,es
lildami estuvo genial 🎶,artistas,neutral,es
Muy mal organizado todo,organización,neutral,es
Volumen fatal,sonido,neutral,es
sonido distorsionado y muy alto toa,sonido,negative,es
Colas interminables un desastre,colas,positive,es
esperamos muchísimo para entrar,colas,neutral,es
Colas interminables un desastre 😭,colas,positive,es
Organización como cualquier festival no convenciooo,organización,negative,es
