tweet_id,tweet,clause,topic,sentiment,sentiment_score,manual_sentiment
6,@cruillabcn @gote8 ¿el plazo de devoluciones acaba el 30 junio?¿en que casos?¿si antes del festival das positivo en covid y/o estas aislado por contacto estrecho entiendo que no aplica este plazo no?,¿ el plazo de devoluciones acaba el 30 junio,pregunta,neutral,0.897,neutral
6,@cruillabcn @gote8 ¿el plazo de devoluciones acaba el 30 junio?¿en que casos?¿si antes del festival das positivo en covid y/o estas aislado por contacto estrecho entiendo que no aplica este plazo no?,¿ en que casos,pregunta,neutral,0.679,neutral
6,@cruillabcn @gote8 ¿el plazo de devoluciones acaba el 30 junio?¿en que casos?¿si antes del festival das positivo en covid y/o estas aislado por contacto estrecho entiendo que no aplica este plazo no?,antes del festival das positivo en covid y / o estas aislado por contacto estrecho entiendo que no aplica este plazo no,unknown,negative,0.65,neutral
7,@cruillabcn @smashingpumpkin @avrillavigne @amaraloficial @oquesgrasses @truenooficiai @thetyets @shinovaoficial @figaflawas @estrelladammcat @seetickets_es @albert_pla realment sou un festival amb tlp eh?,realment sou un festival amb tlp eh,unknown,negative,0.844,neutral
9,"bon dia! tot a punt per al festival cruïlla, tercera etapa del tour d’antígens.","tot a punt per al festival cruïlla , tercera etapa del tour d’antígens",unknown,positive,0.528,neutral
11,@cruillabcn lo que conseguís pidiendo casito a una hora y luego pasándoos el reloj por el forro es que luego nadie os haga ningún caso. besis.,lo que conseguís pidiendo casito a una hora y luego pasándoos el reloj por el forro es que luego nadie os haga ningún caso,unknown,negative,0.876,negative
12,@cruillabcn .entre estas cosas y el cartel de este año (se salva izal) veremos cuánta gente va...no mezcleis política con la música,entre estas cosas y el cartel de este año ( se salva izal ) veremos cuánta gente va,unknown,neutral,0.759,negative
12,@cruillabcn .entre estas cosas y el cartel de este año (se salva izal) veremos cuánta gente va...no mezcleis política con la música,no mezcleis política con la música,sonido,negative,0.609,negative
14,"@cruillabcn @_albxreche @fuelfandango genial, alba reche","genial , alba reche",unknown,positive,0.71,positive
15,@cruillabcn @antonia_font @palaumusicacat @estrelladammcat @seetickets_es venc dues entrades pel 7/02!,venc dues entrades pel 7/02,unknown,neutral,0.854,neutral
16,@cruillabcn @estrelladammcat @dbtodomundo @damianmarley @izalmusic @bombaestereo @joanaserrat @thebugzymalone pot ser que la gran majoria ja els haguem vist al cruilla??? gran decepció!!!!!,pot ser que la gran majoria ja els haguem vist al cruilla,unknown,negative,0.64,neutral
19,"anoche con mis amigos de @lesluthiers, en barcelona, gracias por tantas risas y por el humor inteligente y la música maravillosa. mañana nos vemos en el @cruillabcn festival cruilla, junto a la roberto delgado big band con nuestro salswing!","anoche con mis amigos de , en barcelona , gracias por tantas risas y por el humor inteligente y la música maravillosa",unknown,positive,0.89,positive
19,"anoche con mis amigos de @lesluthiers, en barcelona, gracias por tantas risas y por el humor inteligente y la música maravillosa. mañana nos vemos en el @cruillabcn festival cruilla, junto a la roberto delgado big band con nuestro salswing!","mañana nos vemos en el   festival cruilla , junto a la roberto delgado big band con nuestro salswing",unknown,neutral,0.702,neutral
20,el treball republicà andalús comença a donar els seus fruits: una parella de rapers andalusos aplaudeix l’1-o al festival cruïlla de barcelona,el treball republicà andalús comença a donar els seus fruits : una parella de rapers andalusos aplaudeix l’1-o al festival cruïlla de barcelona,organización,positive,0.623,neutral
21,@fnac_cat @cruillabcn @fnac_cat @cruillabcn a ver a ver que el año pasado me quedé con ganas de ir a ver a bunbury,a ver a ver que el año pasado me quedé con ganas de ir a ver a bunbury,unknown,neutral,0.524,neutral
22,@clipsterbcn @cruillabcn @bravafabrics @markgifer @munichsports @estrelladammcat nos vemos en la barra aquella del fondo...,nos vemos en la barra aquella del fondo,unknown,neutral,0.812,neutral
23,estem just en la setmana que queda entre el canet rock i el cruïlla. què és el més boig que heu fet o heu vist en un festival? lot de 3 ampolles del cava “nu brut nature”’ de cellers maset.,estem just en la setmana que queda entre el canet rock i el cruïlla,unknown,neutral,0.607,neutral
23,estem just en la setmana que queda entre el canet rock i el cruïlla. què és el més boig que heu fet o heu vist en un festival? lot de 3 ampolles del cava “nu brut nature”’ de cellers maset.,què és el més boig que heu fet o heu vist en un festival,unknown,negative,0.807,neutral
23,estem just en la setmana que queda entre el canet rock i el cruïlla. què és el més boig que heu fet o heu vist en un festival? lot de 3 ampolles del cava “nu brut nature”’ de cellers maset.,lot de 3 ampolles del cava “ nu brut nature ” ’ de cellers maset,bebidas,negative,0.653,neutral
24,"@cruillabcn perque no es aquí on està la propagació, sinó en la lenta gestió dels governants i en la poca responsabilitat d'alguns col.lectius","perque no es aquí on està la propagació , sinó",unknown,negative,0.634,neutral
24,"@cruillabcn perque no es aquí on està la propagació, sinó en la lenta gestió dels governants i en la poca responsabilitat d'alguns col.lectius",en la lenta gestió dels governants i en la poca responsabilitat d'alguns col,unknown,negative,0.871,neutral
26,"@cruillabcn @vallformosa @anapolo___ @percebesygrelos @charliiepee @cap0 @evasoriano90 @ignatiusfarray @marcsarrats @modgi @oyesherman @valvaleriaros no cal dir ""comedy"" quan en català tenim 7na paraula tan preciosa com ""comèdia"", no trobeu? no sou més moderns per fer veure que som una societat que sap anglès (no en tenim ni puta idea)","no cal dir "" comedy "" quan",unknown,negative,0.529,neutral
26,"@cruillabcn @vallformosa @anapolo___ @percebesygrelos @charliiepee @cap0 @evasoriano90 @ignatiusfarray @marcsarrats @modgi @oyesherman @valvaleriaros no cal dir ""comedy"" quan en català tenim 7na paraula tan preciosa com ""comèdia"", no trobeu? no sou més moderns per fer veure que som una societat que sap anglès (no en tenim ni puta idea)","en català tenim 7na paraula tan preciosa com "" comèdia "" , no trobeu",precios,positive,0.601,neutral
26,"@cruillabcn @vallformosa @anapolo___ @percebesygrelos @charliiepee @cap0 @evasoriano90 @ignatiusfarray @marcsarrats @modgi @oyesherman @valvaleriaros no cal dir ""comedy"" quan en català tenim 7na paraula tan preciosa com ""comèdia"", no trobeu? no sou més moderns per fer veure que som una societat que sap anglès (no en tenim ni puta idea)",no sou més moderns per fer veure que som una societat que sap anglès ( no en tenim ni puta idea ),organización,negative,0.836,negative
27,"@_nica_ @cruillabcn ¡que buena foto!! mi cerebro tardó como 5' en procesar lo q pasaba en el escenario y comprenderlo. que como tiempo de reacción, es mucho. ¡demasiado!",¡ que buena foto,precios,positive,0.912,positive
27,"@_nica_ @cruillabcn ¡que buena foto!! mi cerebro tardó como 5' en procesar lo q pasaba en el escenario y comprenderlo. que como tiempo de reacción, es mucho. ¡demasiado!",mi cerebro tardó como 5 ' en procesar lo q pasaba en el escenario y comprenderlo,ambiente,neutral,0.504,neutral
27,"@_nica_ @cruillabcn ¡que buena foto!! mi cerebro tardó como 5' en procesar lo q pasaba en el escenario y comprenderlo. que como tiempo de reacción, es mucho. ¡demasiado!","que como tiempo de reacción , es mucho",unknown,neutral,0.62,neutral
28,quiénes vais a ir a ver a gracie al festival de cruïlla?,quiénes vais a ir a ver a gracie al festival de cruïlla,unknown,neutral,0.737,neutral
29,@cruillabcn desitjo que el proper any hi hagi cervesa sense gluten tots els dies perquè el dissabte a les 21h a cap barra. vaig parlar amb l'encarregada i vau arreglar la sense alcohol i no sense gluten. no vaig voler posar reclamació. tingueu en compte això pel 23. tirador i tot!!,desitjo que el proper any hi hagi cervesa sense gluten tots els dies perquè,unknown,positive,0.501,neutral
29,@cruillabcn desitjo que el proper any hi hagi cervesa sense gluten tots els dies perquè el dissabte a les 21h a cap barra. vaig parlar amb l'encarregada i vau arreglar la sense alcohol i no sense gluten. no vaig voler posar reclamació. tingueu en compte això pel 23. tirador i tot!!,el dissabte a les 21h a cap barra,unknown,neutral,0.706,neutral
29,@cruillabcn desitjo que el proper any hi hagi cervesa sense gluten tots els dies perquè el dissabte a les 21h a cap barra. vaig parlar amb l'encarregada i vau arreglar la sense alcohol i no sense gluten. no vaig voler posar reclamació. tingueu en compte això pel 23. tirador i tot!!,vaig parlar amb l'encarregada i vau arreglar la sense alcohol i no sense gluten,unknown,neutral,0.48,negative
29,@cruillabcn desitjo que el proper any hi hagi cervesa sense gluten tots els dies perquè el dissabte a les 21h a cap barra. vaig parlar amb l'encarregada i vau arreglar la sense alcohol i no sense gluten. no vaig voler posar reclamació. tingueu en compte això pel 23. tirador i tot!!,no vaig voler posar reclamació,unknown,negative,0.614,positive
29,@cruillabcn desitjo que el proper any hi hagi cervesa sense gluten tots els dies perquè el dissabte a les 21h a cap barra. vaig parlar amb l'encarregada i vau arreglar la sense alcohol i no sense gluten. no vaig voler posar reclamació. tingueu en compte això pel 23. tirador i tot!!,tingueu en compte això pel 23,unknown,neutral,0.596,neutral
29,@cruillabcn desitjo que el proper any hi hagi cervesa sense gluten tots els dies perquè el dissabte a les 21h a cap barra. vaig parlar amb l'encarregada i vau arreglar la sense alcohol i no sense gluten. no vaig voler posar reclamació. tingueu en compte això pel 23. tirador i tot!!,tirador i tot,unknown,negative,0.686,neutral
32,@estrelladammcat @cruillabcn ha sigut genial! l'any vienent tornarem!,ha sigut genial,sonido,positive,0.873,positive
32,@estrelladammcat @cruillabcn ha sigut genial! l'any vienent tornarem!,l'any vienent tornarem,unknown,neutral,0.511,positive
33,@cruillabcn @modgi sofà for the win.,sofà for the win,unknown,positive,0.715,neutral
34,"aquesta va ser la última fotografia que vaig fer abans que em robesin el telèfon mobil, justament a primera fila de prophets of rage :( :( :( @cruillabcn","aquesta va ser la última fotografia que vaig fer abans que em robesin el telèfon mobil , justament a primera fila de prophets of rage :( :( :(",unknown,negative,0.925,negative
36,"glups, primera baixa al cruïlla: senyor oca, positiu en el test d’antígens. serà substituït per sr. wilson &amp; grifi.","glups , primera baixa al cruïlla : senyor oca , positiu en el test d’antígens",unknown,neutral,0.412,neutral
36,"glups, primera baixa al cruïlla: senyor oca, positiu en el test d’antígens. serà substituït per sr. wilson &amp; grifi.",serà substituït per sr,unknown,negative,0.484,neutral
36,"glups, primera baixa al cruïlla: senyor oca, positiu en el test d’antígens. serà substituït per sr. wilson &amp; grifi.",wilson & amp,sonido,neutral,0.563,neutral
38,@paulavallsfont @cruillabcn encara la tens?,encara la tens,unknown,neutral,0.562,neutral
39,"@cruillabcn @serranoismael @sopadecabra @nilmoliner @fuelfandango @leonbenavente @vivasuecia @amicsdelesarts joder, que lejos estoy...","joder , que lejos estoy",unknown,negative,0.894,negative
40,@cruillabcn @estrelladammcat a quina hora es posaran a la venda???,a quina hora es posaran a la venda,unknown,neutral,0.867,neutral
41,@cruillabcn @estrelladammcat @marcsarrats @oyesherman @oscarandreu @massanagranaire @gagagaigus @eldodoazul @anapolo___ @modgi @henzovic @merixeli19 tria'n un que t'agradi i hi anem?,tria'n un que t'agradi i hi anem,unknown,positive,0.711,neutral
43,@cruillabcn @higiniaroig @massanagranaire @oyesherman @albertbotran @indicatiu @afajngold @joeldiazbrah @parallel62bcn @seetickets_es cruilla de capitalistes,cruilla de capitalistes,unknown,negative,0.93,negative
44,@cruillabcn @flsida @oriolmitja sois conocedores que la empresa enfersalus que contratasteis para realizar las pruebas covid no ha dado de alta en seguridad social a parte del personal de enfermería y auxiliares y no les ha abonado el salario …… y no hacéis nada !!!!,sois conocedores que la empresa enfersalus que contratasteis para realizar las pruebas covid no ha dado de alta en seguridad social a parte del personal de enfermería y auxiliares y no les ha abonado el salario … … y no hacéis nada,unknown,negative,0.895,negative
45,"@cruillabcn incubus tocan en madrid 5 y 8, aquí el 7 y compro la entrada de jueves del tirón.","incubus tocan en madrid 5 y 8 , aquí el 7 y compro la entrada de jueves del tirón",unknown,neutral,0.777,neutral
46,@cruillabcn @alanis @30secondstomars @estrelladammcat @seetickets_es cuándo vais a darnos la alegría de confirmar a @kylieminogue ????,cuándo vais a darnos la alegría de confirmar a,unknown,neutral,0.546,neutral
47,@cruillabcn cuando anunciáis los precios?,anunciáis los precios,unknown,neutral,0.853,neutral
48,@clipsterbcn @cruillabcn @bravafabrics @markgifer @munichsports @estrelladammcat ho torno a probar: @bravafabrics té aquestes camises amb balenes?,ho torno a probar :   té aquestes camises amb balenes,pregunta,neutral,0.706,neutral
49,"@cruillabcn @pribizofficial @culturaartsy me parece vergonzoso lo que habéis hecho. el ganador estaba elegido de antemano, está claro.",me parece vergonzoso lo que habéis hecho,unknown,negative,0.964,negative
49,"@cruillabcn @pribizofficial @culturaartsy me parece vergonzoso lo que habéis hecho. el ganador estaba elegido de antemano, está claro.","el ganador estaba elegido de antemano , está claro",unknown,neutral,0.773,neutral
50,"el festival @cruillabcn és música, però també compromís: no és no i no callem, art (a l'escenari marí de @lluisdanes i arreu del festival), entitats solidàries i ecologia (primer gran festival amb gots 100% biodegradables, fets de blat de moro).","el festival   és música , però",sonido,neutral,0.583,
50,"el festival @cruillabcn és música, però també compromís: no és no i no callem, art (a l'escenari marí de @lluisdanes i arreu del festival), entitats solidàries i ecologia (primer gran festival amb gots 100% biodegradables, fets de blat de moro).","també compromís : no és no i no callem , art ( a l'escenari marí de   i arreu del festival ) , entitats solidàries i ecologia ( primer gran festival amb gots 100% biodegradables , fets de blat de moro )",ambiente,positive,0.654,positive
51,@cruillabcn molta força i molts ànims! ho esteu fent molt bé i tant de bò ens en sortim plegats! vaig gaudir l’altre dia d’un concert al camp nou i les mesures eren excepcionals!!! ens mereixem poder seguir gaudint de la cultura!!!,molta força i molts ànims,unknown,positive,0.864,positive
51,@cruillabcn molta força i molts ànims! ho esteu fent molt bé i tant de bò ens en sortim plegats! vaig gaudir l’altre dia d’un concert al camp nou i les mesures eren excepcionals!!! ens mereixem poder seguir gaudint de la cultura!!!,ho esteu fent molt bé i tant de bò ens en sortim plegats,unknown,positive,0.749,positive
51,@cruillabcn molta força i molts ànims! ho esteu fent molt bé i tant de bò ens en sortim plegats! vaig gaudir l’altre dia d’un concert al camp nou i les mesures eren excepcionals!!! ens mereixem poder seguir gaudint de la cultura!!!,vaig gaudir l’altre dia d’un concert al camp nou i les mesures eren excepcionals,unknown,positive,0.887,positive
51,@cruillabcn molta força i molts ànims! ho esteu fent molt bé i tant de bò ens en sortim plegats! vaig gaudir l’altre dia d’un concert al camp nou i les mesures eren excepcionals!!! ens mereixem poder seguir gaudint de la cultura!!!,ens mereixem poder seguir gaudint de la cultura,unknown,positive,0.791,neutral
52,"@joeldiazbrah @cruillabcn en hail domínguez no necessita anat al cruïlla, que ja cobra una morterada dels nostres impostos.","en hail domínguez no necessita anat al cruïlla , que ja cobra una morterada dels nostres impostos",unknown,negative,0.797,neutral
53,"@joeldiazbrah @cruillabcn no es verdad, todo el mundo sabe que @ignatiusfarray es murciano.","no es verdad , todo el mundo sabe que   es murciano",unknown,negative,0.551,neutral
55,"@cruillabcn editors mai ha publicat aquest concert a la seva web. no sera q fa temps q sabieu aixo? aixi, no.",editors mai ha publicat aquest concert a la seva web,unknown,neutral,0.563,neutral
55,"@cruillabcn editors mai ha publicat aquest concert a la seva web. no sera q fa temps q sabieu aixo? aixi, no.",no sera q fa temps q sabieu aixo,unknown,negative,0.585,neutral
55,"@cruillabcn editors mai ha publicat aquest concert a la seva web. no sera q fa temps q sabieu aixo? aixi, no.","aixi , no",unknown,negative,0.45,neutral
56,@cruillabcn @estrelladammcat no pueden faltar @dubiozakolektiv y @lasratomasa,no pueden faltar   y,unknown,neutral,0.465,neutral
57,@cruillabcn @estrelladammcat @cruillabcn hi haurà escenari a poble espanyol? o ja està tot confirmat amb les publicacions d’avui?,hi haurà escenari a poble espanyol,unknown,neutral,0.611,neutral
57,@cruillabcn @estrelladammcat @cruillabcn hi haurà escenari a poble espanyol? o ja està tot confirmat amb les publicacions d’avui?,o ja està tot confirmat amb les publicacions d’avui,información,neutral,0.612,neutral
58,@cruillabcn dejaré de ir al festival por este cartel,dejaré de ir al festival por este cartel,unknown,negative,0.795,negative
60,"@petshopboys @cruillabcn just waiting for monday @petshopboys concert at teatro real in madrid, incredible venue.","just waiting for monday   concert at teatro real in madrid , incredible venue",unknown,positive,0.761,positive
61,"@cruillabcn @estrelladammcat hola, hi haurà els 5 escenaris com el darrer any? gràcies!","hola , hi haurà els 5 escenaris com el darrer any",unknown,neutral,0.762,neutral
63,"@cruillabcn fins setembre, cracks!!","fins setembre , cracks",unknown,positive,0.806,positive
64,@cruillabcn @ana_i_logica @ignatiusfarray @zlonk @eldodoazul @abiraquelirene @anapolo___ @adriromeo @juegodelitronos @alexis_deiz @charliiepee watch racist pedo supporters live! &lt;3333 did your sister successfully off herself by now? @juankiferrer,watch racist pedo supporters live,unknown,negative,0.91,negative
64,@cruillabcn @ana_i_logica @ignatiusfarray @zlonk @eldodoazul @abiraquelirene @anapolo___ @adriromeo @juegodelitronos @alexis_deiz @charliiepee watch racist pedo supporters live! &lt;3333 did your sister successfully off herself by now? @juankiferrer,3333 did your sister successfully off herself by now,unknown,neutral,0.482,negative
66,"@xcervantes1 preguna seriosa. i si resulta que dones positiu, te n vas cap a casa oi?? peró en el teu trajecte fins al cruilla, mentre esperaves resultat i de tornada a casa estàs escampant el virus oi??. els sanitaris que en pensen??","resulta que dones positiu , te n vas cap a casa oi",unknown,negative,0.703,neutral
66,"@xcervantes1 preguna seriosa. i si resulta que dones positiu, te n vas cap a casa oi?? peró en el teu trajecte fins al cruilla, mentre esperaves resultat i de tornada a casa estàs escampant el virus oi??. els sanitaris que en pensen??","peró en el teu trajecte fins al cruilla , mentre",unknown,neutral,0.508,neutral
66,"@xcervantes1 preguna seriosa. i si resulta que dones positiu, te n vas cap a casa oi?? peró en el teu trajecte fins al cruilla, mentre esperaves resultat i de tornada a casa estàs escampant el virus oi??. els sanitaris que en pensen??",esperaves resultat i de tornada a casa estàs escampant el virus oi,unknown,negative,0.89,neutral
66,"@xcervantes1 preguna seriosa. i si resulta que dones positiu, te n vas cap a casa oi?? peró en el teu trajecte fins al cruilla, mentre esperaves resultat i de tornada a casa estàs escampant el virus oi??. els sanitaris que en pensen??",els sanitaris que en pensen,unknown,neutral,0.525,neutral
67,@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es smashing i aurora alhora m'ha fet molt de mal!,smashing i aurora alhora m'ha fet molt de mal,unknown,negative,0.947,negative
68,@cruillabcn quines ganes de coneixer el cartell!,quines ganes de coneixer el cartell,unknown,negative,0.345,positive
69,@cruillabcn @ignatiusfarray @zlonk @eldodoazul @abiraquelirene @anapolo___ @adriromeo @juegodelitronos @alexis_deiz @charliiepee @ana_i_logica molt guapo....quin aforament màxim té? l'any passat es va omplir del tot molt d'hora diria,quin aforament màxim té,unknown,neutral,0.426,neutral
69,@cruillabcn @ignatiusfarray @zlonk @eldodoazul @abiraquelirene @anapolo___ @adriromeo @juegodelitronos @alexis_deiz @charliiepee @ana_i_logica molt guapo....quin aforament màxim té? l'any passat es va omplir del tot molt d'hora diria,l'any passat es va omplir del tot molt d'hora diria,unknown,negative,0.66,neutral
70,@moratbanda @cruillabcn suerte y regreso morat señores!!,suerte y regreso morat señores,unknown,positive,0.698,neutral
71,"@cruillabcn ànims i endevant, el 08/07/21 faré 40!!! quina millor manera que fer-ho al cruïlla","ànims i endevant , el 08/07/21 faré 40",unknown,negative,0.922,positive
71,"@cruillabcn ànims i endevant, el 08/07/21 faré 40!!! quina millor manera que fer-ho al cruïlla",quina millor manera que fer-ho al cruïlla,unknown,positive,0.717,positive
72,"the prodigy are pleased to announce they will headline festival cruïlla in barcelona, july 8th 2017. tickets &amp; info","the prodigy are pleased to announce they will headline festival cruïlla in barcelona , july 8th 2017",unknown,positive,0.553,neutral
72,"the prodigy are pleased to announce they will headline festival cruïlla in barcelona, july 8th 2017. tickets &amp; info",tickets & amp,unknown,neutral,0.694,neutral
73,@savallsblog en gaudies molt del cruïlla?,en gaudies molt del cruïlla,unknown,positive,0.819,positive
74,@damianmarley @cruillabcn @radiantsun9 junior gong &lt;3,junior gong & lt,sonido,neutral,0.516,neutral
75,cruïlla!!! 9 de juliol barcelona estamos felicísimas por ir a tremendo festival!! @cruillabcn,9 de juliol barcelona estamos felicísimas por ir a tremendo festival,experiencia,positive,0.898,positive
76,"@cruillabcn @_albxreche @natalialacunza no se pierdan el concierto de natalia lacunza como dicen en españa ""es una pasada"" ya quisiera yo disfrutar de semejante talento.","no se pierdan el concierto de natalia lacunza como dicen en españa "" es una pasada "" ya quisiera yo disfrutar de semejante talento",unknown,positive,0.799,positive
78,@jamiroquaihq @cruillabcn @estrelladammcat bloody awesome! coming to see you from the uk in florence on tuesday!,coming to see you from the uk in florence on tuesday,unknown,neutral,0.579,neutral
79,"@cruillabcn @def_con_dos ¿hola? ¿se puede saber porque hasta hoy hay conciertos y los conciertos de def con dos, lendakaris muertos y celtas cortos aparecen cancelados?",¿ se puede saber porque,pregunta,neutral,0.726,neutral
79,"@cruillabcn @def_con_dos ¿hola? ¿se puede saber porque hasta hoy hay conciertos y los conciertos de def con dos, lendakaris muertos y celtas cortos aparecen cancelados?","hasta hoy hay conciertos y los conciertos de def con dos , lendakaris muertos y celtas cortos aparecen cancelados",unknown,negative,0.818,neutral
80,@criadoenterado @cruillabcn @lavanguardia yo creo que los de ps siempre han tenido/creído el monopolio festival/cultural...el rollo de los rockdeluxers...afortunadamente las nuevas generaciones van a su bola y disfrutan lo que les gusta,yo creo que los de ps siempre han tenido / creído el monopolio festival / cultural,unknown,negative,0.492,negative
80,@criadoenterado @cruillabcn @lavanguardia yo creo que los de ps siempre han tenido/creído el monopolio festival/cultural...el rollo de los rockdeluxers...afortunadamente las nuevas generaciones van a su bola y disfrutan lo que les gusta,el rollo de los rockdeluxers,unknown,neutral,0.509,neutral
80,@criadoenterado @cruillabcn @lavanguardia yo creo que los de ps siempre han tenido/creído el monopolio festival/cultural...el rollo de los rockdeluxers...afortunadamente las nuevas generaciones van a su bola y disfrutan lo que les gusta,afortunadamente las nuevas generaciones van a su bola y disfrutan lo que les gusta,unknown,positive,0.754,neutral
81,@cruillabcn moltes gràcies! estén amb vosaltres.,estén amb vosaltres,unknown,neutral,0.483,neutral
82,continuen els festivals massius: el cruïlla reunirà 25.000 persones al dia a barcelona el cruïlla serà el tercer festival de música multitudinari a catalunya després del canet rock i el vida,continuen els festivals massius : el cruïlla reunirà 25,unknown,neutral,0.491,neutral
82,continuen els festivals massius: el cruïlla reunirà 25.000 persones al dia a barcelona el cruïlla serà el tercer festival de música multitudinari a catalunya després del canet rock i el vida,000 persones al dia a barcelona el cruïlla serà el tercer festival de música multitudinari a catalunya després del canet rock i el vida,unknown,neutral,0.54,neutral
83,"@criadoenterado @cruillabcn @lavanguardia es muy cómodo decir ""jijiji, mirad que beef"" un periodista especializado debería ser capaz de señalar que son cuestionamientos razonables. carmena estuvo a tope con mad cool y colau con sónar y ps porque no tienen modelo cultural alternativo a lo que había. postureo y poco más.","es muy cómodo decir "" jijiji , mirad que beef "" un periodista especializado debería ser capaz de señalar que son cuestionamientos razonables",unknown,negative,0.401,neutral
83,"@criadoenterado @cruillabcn @lavanguardia es muy cómodo decir ""jijiji, mirad que beef"" un periodista especializado debería ser capaz de señalar que son cuestionamientos razonables. carmena estuvo a tope con mad cool y colau con sónar y ps porque no tienen modelo cultural alternativo a lo que había. postureo y poco más.",carmena estuvo a tope con mad cool y colau con sónar y ps porque,unknown,negative,0.448,neutral
83,"@criadoenterado @cruillabcn @lavanguardia es muy cómodo decir ""jijiji, mirad que beef"" un periodista especializado debería ser capaz de señalar que son cuestionamientos razonables. carmena estuvo a tope con mad cool y colau con sónar y ps porque no tienen modelo cultural alternativo a lo que había. postureo y poco más.",no tienen modelo cultural alternativo a lo que había,unknown,negative,0.775,neutral
83,"@criadoenterado @cruillabcn @lavanguardia es muy cómodo decir ""jijiji, mirad que beef"" un periodista especializado debería ser capaz de señalar que son cuestionamientos razonables. carmena estuvo a tope con mad cool y colau con sónar y ps porque no tienen modelo cultural alternativo a lo que había. postureo y poco más.",postureo y poco más,unknown,neutral,0.494,neutral
84,"@criadoenterado @cruillabcn @lavanguardia el director del cruilla, además de ser un flipado, huele a summercase por todos lados.","el director del cruilla , además de ser un flipado , huele a summercase por todos lados",unknown,positive,0.417,negative
85,.hauries d’informar-te millor: -soundit (2) de moment -telecogresca (1) -feria abril (10) -primavera sound (5) -share festival (3) -cruïlla (4) -brunch e (3) -fiesta colombia (1) -fiesta ecuador (1) -fiesta perú (1) -robe c (1) aguantaries concert 30 dies seguits? et cal +empatía,hauries d’informar-te millor : -soundit ( 2 ) de moment -telecogresca ( 1 ) -feria abril ( 10 ) -primavera sound ( 5 ) -share festival ( 3 ) -cruïlla ( 4 ) -brunch e ( 3 ) -fiesta colombia ( 1 ) -fiesta ecuador ( 1 ) -fiesta perú ( 1 ) -robe c ( 1 ) aguantaries concert 30 dies seguits,unknown,neutral,0.593,neutral
85,.hauries d’informar-te millor: -soundit (2) de moment -telecogresca (1) -feria abril (10) -primavera sound (5) -share festival (3) -cruïlla (4) -brunch e (3) -fiesta colombia (1) -fiesta ecuador (1) -fiesta perú (1) -robe c (1) aguantaries concert 30 dies seguits? et cal +empatía,et cal + empatía,unknown,neutral,0.563,neutral
86,"@cruillabcn @kylieminogue @bastilledan @garbage @natosywaor @ayaxyprok @gangofyouths @lildamiboi @amabledj @estrelladammcat muy bien. contando q 2 últimos años me hicieron regalito trayendo a los fabulosos cadillac y a seasick steve, este año unos stray cats o incubus tocando uno de los primeros discos...pero q todo bien...","contando q 2 últimos años me hicieron regalito trayendo a los fabulosos cadillac y a seasick steve , este año unos stray cats o incubus tocando uno de los primeros discos",unknown,positive,0.598,neutral
